HGNC approved symbol,Product,Function,Protein complex,Target entity,HGNC approved name,UniProt ID (human),Pfam domains,UniProt ID (mouse),Modification
KAT6A,"H3ac, H4ac",Histone modification write,MOZ/MORF,"H3, H4",K(lysine) acetyltransferase 6A,KAT6A_HUMAN,"MOZ_SAS PF01853 562-749, PHD PF00628 208-265 264-313, Pfam-B_19382 PB019382 1-84, Pfam-B_21350 PB021350 1011-1048, Pfam-B_25985 PB025985 1056-1116, Pfam-B_3468 PB003468 1648-1699, Pfam-B_6470 PB006470 1487-1601",KAT6A_MOUSE,Histone acetylation
KAT6B,H3ac,Histone modification write,MOZ/MORF,H3,K(lysine) acetyltransferase 6B,KAT6B_HUMAN,"Linker_histone PF00538 106-175, MOZ_SAS PF01853 773-960, PHD PF00628 271-320, Pfam-B_6470 PB006470 1604-1717",KAT6B_MOUSE,Histone acetylation
KAT7,H4ac,Histone modification write,HBO1,H4,K(lysine) acetyltransferase 7,KAT7_HUMAN,"MOZ_SAS PF01853 390-577, zf-C2HC PF01530 182-212",KAT7_MOUSE,Histone acetylation
KAT8,"H2Aac, H3ac, H4ac",Histone modification write,"NSL, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7","H2A, H3, H4",K(lysine) acetyltransferase 8,KAT8_HUMAN,"MOZ_SAS PF01853 232-418, Tudor-knot PF11717 55-111",KAT8_MOUSE,Histone acetylation
KDM1A,"H3K4, H3K9",Histone modification erase,"NuRD, BHC, SCL","H3K4me1, H3K4me2, H3K9me",lysine (K)-specific demethylase 1A,KDM1A_HUMAN,"Amino_oxidase PF01593 288-826, SWIRM PF04433 174-264",KDM1A_MOUSE,Histone methylation
KDM1B,H3K4,Histone modification erase,#,"H3K4me1, H3K4me2",lysine (K)-specific demethylase 1B,KDM1B_HUMAN,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM1B_MOUSE,Histone methylation
KDM2A,H3K36,Histone modification erase,#,H3K36me2,lysine (K)-specific demethylase 2A,KDM2A_HUMAN,"F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609",KDM2A_MOUSE,Histone methylation
KDM2B,"H3K4, H3K36",Histone modification erase,BCOR,"H3K4me3, H3K36me2",lysine (K)-specific demethylase 2B,KDM2B_HUMAN,"Cupin_8 PF13621 23-335, F-box PF00646 1050-1107, Pfam-B_23456 PB023456 441-519, Pfam-B_33113 PB033113 1235-1289, zf-CXXC PF02008 605-651",KDM2B_MOUSE,Histone methylation
KDM3A,H3K9,Histone modification erase,#,"H3K9me1, H3K9me2",lysine (K)-specific demethylase 3A,KDM3A_HUMAN,"JmjC PF02373 1151-1264, Pfam-B_14772 PB014772 851-889, Pfam-B_17027 PB017027 351-439, Pfam-B_6147 PB006147 441-539, Pfam-B_7111 PB007111 781-849",KDM3A_MOUSE,Histone methylation
KDM3B,H3K9,Histone modification erase,#,"H3K9me1, H3K9me2",lysine (K)-specific demethylase 3B,KDM3B_HUMAN,"JmjC PF02373 1594-1704, Pfam-B_16202 PB016202 1548-1593, Pfam-B_16670 PB016670 1497-1546, Pfam-B_19299 PB019299 351-469, Pfam-B_22020 PB022020 711-779, Pfam-B_3525 PB003525 571-639, Pfam-B_38652 PB038652 1-39, Pfam-B_6147 PB006147 471-569, Pfam-B_7111 PB007111 781-839",KDM3B_MOUSE,Histone methylation
KDM4A,"H3K4me2, H3K36me2",Histone modification erase,#,"H3K4me3, H3K36me3",lysine (K)-specific demethylase 4A,KDM4A_HUMAN,"JmjC PF02373 175-291, JmjN PF02375 15-49, PHD_2 PF13831 732-767, zf-HC5HC2H_2 PF13832 773-884",KDM4A_MOUSE,Histone methylation
KDM4B,"H3K9me1, H3K9me2",Histone modification erase,#,H3K9me3,lysine (K)-specific demethylase 4B,KDM4B_HUMAN,"JmjC PF02373 176-292, JmjN PF02375 16-50, PHD_2 PF13831 754-789, Pfam-B_12059 PB012059 1021-1094, zf-HC5HC2H_2 PF13832 795-906",KDM4B_MOUSE,Histone methylation
KDM4C,"H3K9me1, H3K9me2",Histone modification erase,#,"H3K9me3, H3K36me3",lysine (K)-specific demethylase 4C,KDM4C_HUMAN,"JmjC PF02373 177-293, JmjN PF02375 17-51, PHD_2 PF13831 712-747, Pfam-B_10616 PB010616 1021-1054, Pfam-B_14467 PB014467 422-670, Pfam-B_5109 PB005109 891-1019, zf-HC5HC2H_2 PF13832 753-864",KDM4C_MOUSE,Histone methylation
KDM4D,"H3K9me1, H3K9me2",Histone modification erase,#,H3K9me3,lysine (K)-specific demethylase 4D,KDM4D_HUMAN,"JmjC PF02373 179-295, JmjN PF02375 19-53, Pfam-B_45485 PB045485 324-356, Pfam-B_84013 PB084013 451-521",KDM4D_MOUSE,Histone methylation
KDM4E,H3K9,Histone modification erase,#,"H3K9me2, H3K9me3",lysine (K)-specific demethylase 4E,KDM4E_HUMAN,"JmjC PF02373 176-292, JmjN PF02375 16-50",#,Histone methylation
KDM5A,H3K4,Histone modification erase,#,H3K4me3,lysine (K)-specific demethylase 5A,KDM5A_HUMAN,"ARID PF01388 81-170, JmjC PF02373 470-586, JmjN PF02375 20-53, PHD PF00628 295-343 1163-1218, PLU-1 PF08429 740-1072, zf-C5HC2 PF02928 676-729",KDM5A_MOUSE,Histone methylation
KDM5B,H3K4,Histone modification erase,#,H3K4me3,lysine (K)-specific demethylase 5B,KDM5B_HUMAN,"ARID PF01388 94-183, JmjC PF02373 486-602, JmjN PF02375 33-66, PHD PF00628 311-359 1178-1224 1486-1538, PLU-1 PF08429 756-1088, zf-C5HC2 PF02928 692-745",KDM5B_MOUSE,Histone methylation
KDM5C,"H3K4me2, H3K4me1",Histone modification erase,#,H3K4me3,lysine (K)-specific demethylase 5C,KDM5C_HUMAN,"ARID PF01388 76-165, JmjC PF02373 501-617, JmjN PF02375 15-48, PHD PF00628 326-374 1187-1250, PLU-1 PF08429 771-1100, Pfam-B_12821 PB012821 1417-1482, zf-C5HC2 PF02928 707-760",KDM5C_MOUSE,Histone methylation
KDM5D,H3K4,Histone modification erase,#,"H3K4me3, H3K4me2",lysine (K)-specific demethylase 5D,KDM5D_HUMAN,"ARID PF01388 76-165, JmjC PF02373 491-607, JmjN PF02375 15-48, PHD PF00628 316-364 1174-1237, PLU-1 PF08429 761-1087, Pfam-B_12821 PB012821 1401-1443, zf-C5HC2 PF02928 697-750",KDM5D_MOUSE,Histone methylation
KDM6A,H3K27,Histone modification erase,"CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4",H3K27me2. H3K27me3,lysine (K)-specific demethylase 6A,KDM6A_HUMAN,"JmjC PF02373 1133-1241, Pfam-B_604 PB000604 631-769, Pfam-B_972 PB000972 771-1109, TPR_1 PF00515 130-163 318-351 352-380, TPR_17 PF13431 272-304, TPR_8 PF13181 205-238",KDM6A_MOUSE,Histone methylation
KDM6B,H3K28,Histone modification erase,#,H3K27me2. H3K27me4,lysine (K)-specific demethylase 6B,KDM6B_HUMAN,"JmjC PF02373 1377-1485, Pfam-B_5108 PB005108 101-843, Pfam-B_992 PB000992 1-99",KDM6B_MOUSE,Histone methylation
KDM7A,"H3K9, H3K27, H4K20",Histone modification erase,#,"H3K9me2, H3K27me2, H4K20me1",lysine (K)-specific demethylase 7A,KDM7A_HUMAN,"PHD PF00628 39-88, JmjC PF02373 269-369, Pfam-B_18122 PB018122 381-538, Pfam-B_13686 PB013686 541-639, Pfam-B_1060 PB001060 853-939",KDM7A_MOUSE,Histone methylation
KDM8,H3K36,Histone modification erase,#,H3K36me2,lysine (K)-specific demethylase 8,KDM8_HUMAN,Cupin_8 PF13621 192-416,KDM8_MOUSE,Histone methylation
KEAP1,#,Chromatin remodeling,#,#,kelch-like ECH-associated protein 1,KEAP1_HUMAN,"BACK PF07707 184-286, BTB PF00651 67-179, Kelch_1 PF01344 317-359 361-410 412-457 459-504 506-551 553-598",KEAP1_MOUSE,#
KHDRBS1,#,RNA modification,#,mRNA,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)",KHDR1_HUMAN,PF00013;PF16274;PF16568,KHDR1_MOUSE,Alternative splicing
KMT2A,H3K4me,Histone modification write,"MLL-HCF, CHD8, COMPASS-like MLL1,2",H3K4,lysine (K)-specific methyltransferase 2A,KMT2A_HUMAN,"FYRC PF05965 3666-3749, FYRN PF05964 2023-2073, PHD PF00628 1481-1533 1568-1627, Pfam-B_11202 PB011202 1021-1086, SET PF00856 3840-3945, zf-CXXC PF02008 1147-1194, zf-HC5HC2H PF13771 1900-1978",KMT2A_MOUSE,Histone methylation
KMT2B,H3K4me3,Histone modification write,"Menin-associated_HMT, MLL2/3, COMPASS-like MLL3,4",H3K4,lysine (K)-specific methyltransferase 2B,KMT2B_HUMAN,"FYRC PF05965 2411-2494, FYRN PF05964 1732-1782, PHD PF00628 1251-1303 1337-1396, Pfam-B_25060 PB025060 1783-1849, Pfam-B_25524 PB025524 1168-1202, Pfam-B_26440 PB026440 701-839, Pfam-B_27348 PB027348 2191-2289, Pfam-B_3353 PB003353 1981-2079, Pfam-B_6332 PB006332 1401-1479, Pfam-B_85509 PB085509 345-387, SET PF00856 2586-2691, zf-CXXC PF02008 958-1005, zf-HC5HC2H PF13771 1608-1686",KMT2B_MOUSE,Histone methylation
KMT2C,H3K4me,Histone modification write,"MLL2/3, COMPASS-like MLL3,4",H3K4,lysine (K)-specific methyltransferase 2C,KMT2C_HUMAN,"FYRC PF05965 4606-4693, FYRN PF05964 4550-4604, PHD PF00628 390-438 959-1010 1009-1060, Pfam-B_16694 PB016694 2536-2572, Pfam-B_19991 PB019991 1874-1906, Pfam-B_43 PB000043 3044-3095, Pfam-B_49476 PB049476 1-159, SET PF00856 4782-4887, zf-HC5HC2H PF13771 252-331 4429-4507",KMT2C_MOUSE,Histone methylation
KMT2D,H3K4me,Histone modification write,"COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4",H3K4,lysine (K)-specific methyltransferase 2D,KMT2D_HUMAN,"FYRC PF05965 5236-5323, FYRN PF05964 5180-5234, PHD PF00628 275-323 1379-1429 1429-1477, Pfam-B_26489 PB026489 5016-5050, Pfam-B_29065 PB029065 423-678, Pfam-B_2976 PB002976 1682-1717, Pfam-B_33020 PB033020 3681-3767, SET PF00856 5408-5513, zf-HC5HC2H PF13771 139-218 5059-5137",KMT2D_MOUSE,Histone methylation
KMT2E,"H3K4me1, H3K4me2",Histone modification write,#,H3K4,lysine (K)-specific methyltransferase 2E,KMT2E_HUMAN,"PHD PF00628 120-166, Pfam-B_13611 PB013611 1791-1856, Pfam-B_19470 PB019470 1301-1369, Pfam-B_19601 PB019601 1131-1179, Pfam-B_20626 PB020626 961-1129, Pfam-B_22469 PB022469 871-959, Pfam-B_24586 PB024586 1261-1299, Pfam-B_7010 PB007010 1651-1789, Pfam-B_7713 PB007713 731-869, SET PF00856 342-447",KMT2E_MOUSE,Histone methylation
L3MBTL1,#,Histone modification read,L3MBTL1,"H1BK26, H4K20",l(3)mbt-like 1 (Drosophila),LMBL1_HUMAN,"MBT PF02820 242-314 349-421 453-525, SAM_1 PF00536 681-745, zf-C2HC PF01530 551-581",LMBL1_MOUSE,#
L3MBTL2,#,Histone modification read,RING2-L3MBTL2,"H3K4, H3K9, H3K27, H4K20",l(3)mbt-like 2 (Drosophila),LMBL2_HUMAN,MBT PF02820 214-290 327-395 432-508 540-610,LMBL2_MOUSE,#
L3MBTL3,#,Histone modification read,#,H4K20me,l(3)mbt-like 3 (Drosophila),LMBL3_HUMAN,"MBT PF02820 268-340 375-447 479-548, Pfam-B_29190 PB029190 1-79, SAM_1 PF00536 706-770",LMBL3_MOUSE,#
L3MBTL4,#,Histone modification read,#,HKme,l(3)mbt-like 4 (Drosophila),LMBL4_HUMAN,"MBT PF02820 88-160 196-268 300-371, SAM_1 PF00536 541-605, zf-C2HC PF01530 376-407",LMBL4_MOUSE,#
LAS1L,"H3K4me, H3K4me2, H3Ac, H4Ac, H2AAc","Histone modification write cofactor, Histone modification write cofactor","CHD8, MLL2/3, MLL4/WBP7","H3K4, H3,H4,H2A",LAS1-like (S. cerevisiae),LAS1L_HUMAN,"Las1 PF04031 42-188, Pfam-B_28535 PB028535 671-732",LAS1L_MOUSE,"Histone methylation, Histone acetylation"
LEO1,#,Histone modification write cofactor,#,#,"Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",LEO1_HUMAN,"Leo1 PF04004 373-537, Pfam-B_17842 PB017842 1-105, Pfam-B_20153 PB020153 171-239, Pfam-B_6431 PB006431 241-309",LEO1_MOUSE,Histone ubiquitination
LRWD1,#,Chromatin remodeling,#,"H3K9me3, H3K27me3",leucine-rich repeats and WD repeat domain containing 1,LRWD1_HUMAN,"LRR_1 PF00560 48-69, Pfam-B_28625 PB028625 274-344, Pfam-B_39252 PB039252 191-239, WD40 PF00400 382-421",LRWD1_MOUSE,#
MAGOH,#,RNA modification,#,mRNA,Protein mago nashi homolog,MGN_HUMAN,PF02792,MGN_MOUSE,Alternative splicing
MAP3K7,#,Histone modification write,#,#,mitogen-activated protein kinase kinase kinase 7,M3K7_HUMAN,"Pfam-B_11880 PB011880 521-569, Pkinase_Tyr PF07714 36-284",M3K7_MOUSE,#
MAPKAPK3,#,Chromatin remodeling,#,#,mitogen-activated protein kinase-activated protein kinase 3,MAPK3_HUMAN,Pkinase PF00069 44-304,MAPK3_MOUSE,#
MASTL,"H1p, H3p",Histone modification write,#,"H1, H3",microtubule associated serine/threonine kinase-like,GWL_HUMAN,"Pfam-B_24677 PB024677 271-369, Pfam-B_8409 PB008409 371-489, Pkinase PF00069 35-203 733-835",GWL_MOUSE,Histone phosphorylation
MAX,#,"Histone modification write cofactor, TF","CHD8, MLL2/3, MLL4/WBP7",DNA motif,MYC associated factor X,MAX_HUMAN,HLH PF00010 24-75,MAX_MOUSE,"Histone methylation, Histone acetylation, TF activator, TF repressor"
MAZ,#,Chromatin remodeling,#,#,MYC-associated zinc finger protein (purine-binding transcription factor),MAZ_HUMAN,"zf-C2H2 PF00096 337-360, zf-C2H2_4 PF13894 190-213 366-388, zf-H2C2_2 PF13465 293-318",MAZ_MOUSE,#
MBD1,#,"Histone modification write cofactor, TF",#,"mCG, DNA motif",methyl-CpG binding domain protein 1,MBD1_HUMAN,"MBD PF01429 1-85, Pfam-B_12306 PB012306 468-526, Pfam-B_9691 PB009691 528-587, zf-CXXC PF02008 168-215 217-262 330-377",MBD1_MOUSE,"Histone methylation, TF repressor"
MBD2,#,"Histone modification write cofactor, Histone modification erase cofactor, TF","NuRD, MeCP1","mCG, DNA motif",methyl-CpG binding domain protein 2,MBD2_HUMAN,"MBD PF01429 145-216, MBD_C PF14048 294-387",MBD2_MOUSE,"Histone methylation, Histone acetylation, TF repressor"
MBD3,#,Histone modification erase cofactor,NuRD,#,methyl-CpG binding domain protein 3,MBD3_HUMAN,"MBD PF01429 1-72, MBD_C PF14048 150-243",MBD3_MOUSE,Histone acetylation
MBD4,#,DNA modification,#,"G:T, G:U",methyl-CpG binding domain protein 4,MBD4_HUMAN,"HhH-GPD PF00730 461-575, MBD PF01429 76-151, Pfam-B_47325 PB047325 409-460",MBD4_MOUSE,#
MBD5,#,Chromatin remodeling,#,#,methyl-CpG binding domain protein 5,MBD5_HUMAN,"Pfam-B_1400 PB001400 981-1140, Pfam-B_19258 PB019258 499-567, Pfam-B_41495 PB041495 438-497, Pfam-B_51737 PB051737 1-119, Pfam-B_5417 PB005417 121-219, Pfam-B_7705 PB007705 221-410",MBD5_MOUSE,#
MBD6,#,Chromatin remodeling,#,#,methyl-CpG binding domain protein 6,MBD6_HUMAN,Pfam-B_28044 PB028044 161-209,MBD6_MOUSE,#
MBIP,#,Histone modification write cofactor,ATAC,#,MAP3K12 binding inhibitory protein 1,MBIP1_HUMAN,"Pfam-B_15854 PB015854 191-249, Pfam-B_276 PB000276 251-342",MBIP1_MOUSE,Histone acetylation
MBNL1,#,RNA modification,#,mRNA,Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein),MBNL1_HUMAN,PF00642,MBNL1_MOUSE,Alternative splicing
MBNL3,#,RNA modification,#,mRNA,Muscleblind-like protein 3 (Cys3His CCG1-required protein) (Muscleblind-like X-linked protein) (Protein HCHCR),MBNL3_HUMAN,PF00642,MBNL3_MOUSE,Alternative splicing
MBTD1,#,Polycomb group (PcG) protein,#,"H4K20me1, H4K20me2",mbt domain containing 1,MBTD1_HUMAN,"MBT PF02820 183-253 289-360 388-464 496-568, Pfam-B_45320 PB045320 1-59",MBTD1_MOUSE,#
MCRS1,"H4K5ac, H4K8ac, H4K16ac",Histone modification write,"Ino80, NSL, CHD8, MLL2/3, MLL4/WBP7","H4K5, H4K8, H4K16",microspherule protein 1,MCRS1_HUMAN,"FHA PF00498 363-436, MCRS_N PF13325 134-331",MCRS1_MOUSE,Histone acetylation
MDC1,#,Histone modification read,#,H2AX,mediator of DNA-damage checkpoint 1,MDC1_HUMAN,"FHA PF00498 54-124, Pfam-B_1811 PB001811 319-407",MDC1_MOUSE,#
MEAF6,"H2Aac, H3K14ac, H4K5ac, H4K8ac, H4K12ac",Histone modification write cofactor,"HBO1, NuA4, MOZ/MORF","H2A, H3K14, H4K5, H4K8, H4K12",MYST/Esa1-associated factor 6,EAF6_HUMAN,NuA4 PF09340 16-97,EAF6_MOUSE,Histone acetylation
MECP2,#,"Histone modification write cofactor, Histone modification write cofactor, TF",#,"mCG, DNA motif",methyl CpG binding protein 2,MECP2_HUMAN,MBD PF01429 90-164,MECP2_MOUSE,"Histone methylation, Histone acetylation, TF repressor"
MEN1,H3K4me,Histone modification write cofactor,"Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7",H3K4,multiple endocrine neoplasia I,MEN1_HUMAN,Menin PF05053 1-615,MEN1_MOUSE,Histone methylation
METTL11B,K55m,Histone modification writer,#,CENP-A,methyltransferase like 11B,NTM1B_HUMAN,PF05891,NTM1B_MOUSE,Histone methylation
METTL14,m(6)A,RNA modification,WMM,A of mRNA,methyltransferase like 14,MET14_HUMAN,PF05063,MET14_MOUSE,RNA methylation
METTL16,m6A43,RNA modification,#,U6 snRNA (A43),methyltransferase like 16,MET16_HUMAN,PF05971,MET16_MOUSE,RNA methylation
METTL21A,Km3,Protein modification,#,Hsp70,methyltransferase like 21A,MT21A_HUMAN,PF10294,MT21A_MOUSE,Protein methylation
METTL3,m(6)A,RNA modification,WMM,A of mRNA,methyltransferase like 3,MTA70_HUMAN,PF05063,MTA70_MOUSE,RNA methylation
METTL4,m(6)A,"RNA modification, DNA modification",#,"A of DNA, U2 snRNA",methyltransferase like 4,METL4_HUMAN,PF05063,METL4_MOUSE,"RNA methylation, DNA methylation"
MGA,#,"Histone modification write cofactor, TF","RING2-L3MBTL2, CHD8, MLL2/3, MLL4/WBP7",DNA motif,"MGA, MAX dimerization protein",MGAP_HUMAN,"HLH PF00010 2385-2436, Pfam-B_11518 PB011518 378-497, Pfam-B_24878 PB024878 2971-3008, Pfam-B_591 PB000591 979-1080 1332-1376, Pfam-B_7320 PB007320 1791-1938, Pfam-B_80122 PB080122 1-39, Pfam-B_8542 PB008542 653-837, T-box PF00907 76-261",MGAP_MOUSE,"Histone methylation, Histone acetylation, TF activator, TF repressor"
MGEA5,"H3K14ac, H4K8ac",Histone modification write,#,"H3K14, H4K8",meningioma expressed antigen 5 (hyaluronidase),NCOAT_HUMAN,"NAGidase PF07555 62-364, Pfam-B_15148 PB015148 851-895",NCOAT_MOUSE,Histone acetylation
MINA,H3K9,Histone modification erase,#,H3K9me3,MYC induced nuclear antigen,MINA_HUMAN,Cupin_4 PF08007 51-364,MINA_MOUSE,Histone methylation
MIS18A,#,Chromatin remodeling,Mis18,CENPA,MIS18 kinetochore protein A,MS18A_HUMAN,PF03226,MIS18A_MOUSE,#
MIS18BP1,#,Chromatin remodeling,Mis18,CENPA,MIS18 binding protein 1,M18BP_HUMAN,PF00249; PF09133,M18BP_MOUSE,#
MLLT1,#,Chromatin remodeling cofactor,"SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB",#,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1",ENL_HUMAN,YEATS PF03366 29-112,#,#
MLLT10,H3K79me3,Histone modification write cofactor,#,H3K79,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10",AF10_HUMAN,"PHD_2 PF13831 36-72, Pfam-B_12689 PB012689 541-619, Pfam-B_12729 PB012729 821-879, Pfam-B_4074 PB004074 234-538, Pfam-B_6933 PB006933 721-819, Pfam-B_9291 PB009291 621-719, zf-HC5HC2H_2 PF13832 80-197",AF10_MOUSE,Histone methylation
MLLT6,H3K79me3,Histone modification write cofactor,#,H3K79,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6",AF17_HUMAN,"Pfam-B_16181 PB016181 791-1091, Pfam-B_3448 PB003448 551-789, zf-HC5HC2H_2 PF13832 63-180",#,Histone methylation
MORF4L1,#,Histone modification read,NuA4,H4,mortality factor 4 like 1,MO4L1_HUMAN,"MRG PF05712 166-350, Tudor-knot PF11717 11-53",MO4L1_MOUSE,#
MORF4L2,#,Histone modification erase cofactor,NuA4,#,mortality factor 4 like 2,MO4L2_HUMAN,"MRG PF05712 93-276, Pfam-B_26706 PB026706 1-39",MO4L2_MOUSE,Histone acetylation
MPHOSPH8,#,Histone modification read,#,"H3K9me3, H3K9me2",M-phase phosphoprotein 8,MPP8_HUMAN,"Ank_2 PF12796 570-664 647-730, Chromo PF00385 59-109",MPP8_MOUSE,#
MPND,H2A,Histone modification erase,#,H2A-Ub (K119),MPN domain-containing,MPND_HUMAN,PF01398; PF18755,MPND_MOUSE,Histone ubiquitination
MRGBP,#,Histone modification write cofactor,NuA4,#,MRG/MORF4L binding protein,MRGBP_HUMAN,Eaf7 PF07904 34-114,MRGBP_MOUSE,Histone acetylation
MSH6,#,Histone modification read,#,H3K36me3,mutS homolog 6,MSH6_HUMAN,"MutS_I PF01624 407-526, MutS_II PF05188 537-703, MutS_III PF05192 737-1065, MutS_IV PF05190 932-1024, MutS_V PF00488 1074-1326, PWWP PF00855 90-182",MSH6_MOUSE,#
MSL1,H2BK34ub,Histone modification write,#,H2BK34,male-specific lethal 1 homolog (Drosophila),MSL1_HUMAN,"PEHE PF15275 473-591, Pfam-B_41610 PB041610 41-129, Pfam-B_70275 PB070275 1-39",MSL1_MOUSE,Histone ubiquitination
MSL2,H2BK34ub,Histone modification write,#,H2BK34,male-specific lethal 2 homolog (Drosophila),MSL2_HUMAN,"Pfam-B_16851 PB016851 461-575, Pfam-B_19348 PB019348 1-89, Pfam-B_20099 PB020099 211-459, Pfam-B_22844 PB022844 91-209",MSL2_MOUSE,Histone ubiquitination
MSL3,#,Histone modification read,#,H4K20me1,male-specific lethal 3 homolog (Drosophila),MS3L1_HUMAN,"MRG PF05712 136-504, Tudor-knot PF11717 11-74",MS3L1_MOUSE,#
MST1,#,Histone modification,#,#,macrophage stimulating 1 (hepatocyte growth factor-like),HGFL_HUMAN,"Kringle PF00051 110-186 191-268 283-361 370-448, PAN_1 PF00024 16-106, Trypsin PF00089 484-704",HGFL_MOUSE,#
MTA1,#,Chromatin remodeling cofactor,NuRD,#,metastasis associated 1,MTA1_HUMAN,"BAH PF01426 4-164, ELM2 PF01448 167-221, GATA PF00320 393-430",MTA1_MOUSE,#
MTA2,#,Histone modification erase cofactor,NuRD,#,"metastasis associated 1 family, member 2",MTA2_HUMAN,"BAH PF01426 4-144, ELM2 PF01448 147-201, GATA PF00320 367-404, Pfam-B_3593 PB003593 571-637",MTA2_MOUSE,Histone acetylation
MTA3,#,Chromatin remodeling cofactor,NuRD,#,"metastasis associated 1 family, member 3",MTA3_HUMAN,"BAH PF01426 4-147, ELM2 PF01448 150-204, GATA PF00320 379-416, Pfam-B_11869 PB011869 421-489, Pfam-B_22870 PB022870 491-520",MTA3_MOUSE,#
MTF2,#,Polycomb group (PcG) protein,PRC2,H3K36me3,metal response element binding transcription factor 2,MTF2_HUMAN,"Mtf2_C PF14061 542-592, PHD PF00628 104-157",MTF2_MOUSE,#
MUM1,#,Histone modification read,#,"H3K36me, K3K79me, H4K20me",melanoma associated antigen (mutated) 1,MUM1_HUMAN,Pfam-B_7774 PB007774 1-232,MUM1_MOUSE,#
MYBBP1A,#,Chromatin remodeling cofactor,B-WICH,#,MYB binding protein (P160) 1a,MBB1A_HUMAN,DNA_pol_phi PF04931 70-836,MBB1A_MOUSE,#
MYO1C,#,Chromatin remodeling cofactor,B-WICH,#,myosin IC,MYO1C_HUMAN,"IQ PF00612 735-755 758-777, Myosin_TH1 PF06017 873-1059, Myosin_head PF00063 48-718",MYO1C_MOUSE,#
MYSM1,H2A,Histone modification erase,#,H2Aub,"Myb-like, SWIRM and MPN domains 1",MYSM1_HUMAN,"JAB PF01398 572-682, Myb_DNA-binding PF00249 118-163, Pfam-B_30622 PB030622 691-736, SWIRM PF04433 372-461",MYSM1_MOUSE,Histone ubiquitination
NAA60,"H4K20ac, H4K79ac, H4K91ac",Histone modification write,#,"H4K20, H4K79, H4K91","N(alpha)-acetyltransferase 60, NatF catalytic subunit",NAA60_HUMAN,Acetyltransf_1 PF00583 57-156,NAA60_MOUSE,Histone acetylation
NAP1L1,#,Histone chaperone,#,#,nucleosome assembly protein 1-like 1,NP1L1_HUMAN,NAP PF00956 75-346,NP1L1_MOUSE,#
NAP1L2,#,Histone modification cofactor,#,"H3, H4",nucleosome assembly protein 1-like 2,NP1L2_HUMAN,NAP PF00956 109-412,NP1L2_MOUSE,#
NAP1L4,#,Histone modification cofactor,#,"H3, H4",nucleosome assembly protein 1-like 4,NP1L4_HUMAN,NAP PF00956 64-339,NP1L4_MOUSE,#
NASP,#,Chromatin remodeling,#,H1,nuclear autoantigenic sperm protein (histone-binding),NASP_HUMAN,"SHNi-TPR PF10516 542-579, TPR_1 PF00515 584-617",NASP_MOUSE,#
NAT10,ac4C,RNA modification,#,C of mRNA,N-acetyltransferase 10,NAT10_HUMAN,PF08351;PF13718;PF05127;PF13725,NAT10_MOUSE,RNA acetylation
NAT10,#,Histone modification write,#,#,N-acetyltransferase 10 (GCN5-related),NAT10_HUMAN,"DUF1726 PF08351 107-201, GNAT_acetyltr_2 PF13718 528-753, Helicase_RecD PF05127 281-488, tRNA_bind_2 PF13725 771-892",NAT10_MOUSE,Histone acetylation
NBN,#,Chromatin remodeling,#,H2AX,nibrin,NBN_HUMAN,"FHA PF00498 24-100, Nbs1_C PF08599 682-746",NBN_MOUSE,#
NCL,#,Histone chaperone,#,"DNA motif, RNA motif",nucleolin,NUCL_HUMAN,"Pfam-B_12581 PB012581 1-59, RRM_1 PF00076 309-377 395-460 488-554 574-641",NUCL_MOUSE,#
NCOA1,#,Histone modification write,#,"H3, H4",nuclear receptor coactivator 1,NCOA1_HUMAN,"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708",NCOA1_MOUSE,Histone acetylation
NCOA2,#,Chromatin remodeling cofactor,#,#,nuclear receptor coactivator 2,NCOA2_HUMAN,"DUF1518 PF07469 1281-1338, Nuc_rec_co-act PF08815 1071-1117, PAS PF00989 115-215, PAS_11 PF14598 267-379, SRC-1 PF08832 636-709",NCOA2_MOUSE,#
